,pCR,pRelapse,OS,Remission
Age.at.Dx,1.0,1.0,1.0,1.0
AHD,1.0,1.0,1.0,1.0
WBC,1.0,1.0,1.0,1.0
ABS.BLST,1.0,1.0,1.0,1.0
BM.BLAST,1.0,1.0,1.0,1.0
BM.MONOCYTES,1.0,1.0,1.0,1.0
BM.PROM,1.0,1.0,1.0,1.0
PB.BLAST,1.0,1.0,1.0,1.0
PB.MONO,1.0,1.0,1.0,1.0
PB.PROM,1.0,1.0,1.0,1.0
HGB,1.0,1.0,1.0,1.0
PLT,1.0,1.0,1.0,1.0
LDH,1.0,1.0,1.0,1.0
ALBUMIN,1.0,1.0,1.0,1.0
BILIRUBIN,1.0,1.0,1.0,1.0
CREATININE,1.0,1.0,1.0,1.0
FIBRINOGEN,1.0,1.0,1.0,1.0
CD13,1.0,1.0,1.0,1.0
CD33,1.0,1.0,1.0,1.0
CD34,1.0,1.0,1.0,1.0
CD7,1.0,1.0,1.0,1.0
CD10,1.0,1.0,1.0,1.0
CD20,1.0,1.0,1.0,1.0
HLA.DR,1.0,1.0,1.0,1.0
CD19,1.0,1.0,1.0,1.0
ACTB,1.0,1.0,1.0,1.0
AIFM1,1.0,1.0,1.0,1.0
AKT1,1.0,1.0,1.0,1.0
AKT1_2_3.pS473,1.0,1.0,1.0,1.0
AKT1_2_3.pT308,1.0,1.0,1.0,1.0
ARC,1.0,1.0,1.0,1.0
ASH2L,1.0,1.0,1.0,1.0
ASNS,1.0,1.0,1.0,1.0
ATF3,1.0,1.0,1.0,1.0
ATG7,1.0,1.0,1.0,1.0
BAD,1.0,1.0,1.0,1.0
BAD.pS112,1.0,1.0,1.0,1.0
BAD.pS136,1.0,1.0,1.0,1.0
BAD.pS155,1.0,1.0,1.0,1.0
BAK1,1.0,1.0,1.0,1.0
BAX,1.0,1.0,1.0,1.0
BCL2,1.0,1.0,1.0,1.0
BCL2L1,1.0,1.0,1.0,1.0
BCL2L11,1.0,1.0,1.0,1.0
BECN1,1.0,1.0,1.0,1.0
BID,1.0,1.0,1.0,1.0
BIRC2,1.0,1.0,1.0,1.0
BIRC5,1.0,1.0,1.0,1.0
BMI1,1.0,1.0,1.0,1.0
BRAF,1.0,1.0,1.0,1.0
CASP3,1.0,1.0,1.0,1.0
CASP3.cl175,1.0,1.0,1.0,1.0
CASP7.cl198,1.0,1.0,1.0,1.0
CASP8,1.0,1.0,1.0,1.0
CASP9,1.0,1.0,1.0,1.0
CASP9.cl315,1.0,1.0,1.0,1.0
CASP9.cl330,1.0,1.0,1.0,1.0
CAV1,1.0,1.0,1.0,1.0
CBL,1.0,1.0,1.0,1.0
CCNB1,1.0,1.0,1.0,1.0
CCND1,1.0,1.0,1.0,1.0
CCND3,1.0,1.0,1.0,1.0
CCNE1,1.0,1.0,1.0,1.0
CCNE2,1.0,1.0,1.0,1.0
CD44,1.0,1.0,1.0,1.0
CD74,1.0,1.0,1.0,1.0
CDK1,1.0,1.0,1.0,1.0
CDK2,1.0,1.0,1.0,1.0
CDK4,1.0,1.0,1.0,1.0
CDKN1A,1.0,1.0,1.0,1.0
CDKN2A,1.0,1.0,1.0,1.0
CLPP,1.0,1.0,1.0,1.0
COPS5,1.0,1.0,1.0,1.0
CREB1,1.0,1.0,1.0,1.0
CREB1.pS133,1.0,1.0,1.0,1.0
CTNNA1,1.0,1.0,1.0,1.0
CTNNB1,1.0,1.0,1.0,1.0
CTNNB1.pS33_37_41,1.0,1.0,1.0,1.0
CTSG,1.0,1.0,1.0,1.0
DIABLO,1.0,1.0,1.0,1.0
DLX1,1.0,1.0,1.0,1.0
DUSP6,1.0,1.0,1.0,1.0
EGFR,1.0,1.0,1.0,1.0
EGFR.pY992,1.0,1.0,1.0,1.0
EGLN1,1.0,1.0,1.0,1.0
EIF2AK2,1.0,1.0,1.0,1.0
EIF2AK2.pT451,1.0,1.0,1.0,1.0
EIF2S1,1.0,1.0,1.0,1.0
EIF2S1.pS51.,1.0,1.0,1.0,1.0
EIF4E,1.0,1.0,1.0,1.0
ELK1.pS383,1.0,1.0,1.0,1.0
ERBB2,1.0,1.0,1.0,1.0
ERBB2.pY1248,1.0,1.0,1.0,1.0
ERBB3,1.0,1.0,1.0,1.0
ERG,1.0,1.0,1.0,1.0
Fli1,1.0,1.0,1.0,1.0
FN1,1.0,1.0,1.0,1.0
FOXO1.pT24_FOXO3.pT32,1.0,1.0,1.0,1.0
FOXO3,1.0,1.0,1.0,1.0
FOXO3.S318_321,1.0,1.0,1.0,1.0
GAB2,1.0,1.0,1.0,1.0
GAB2.pY452,1.0,1.0,1.0,1.0
GAPDH,1.0,1.0,1.0,1.0
GATA1,1.0,1.0,1.0,1.0
GATA3,1.0,1.0,1.0,1.0
GRP78,1.0,1.0,1.0,1.0
GSKA_B,1.0,1.0,1.0,1.0
GSKA_B.pS21_9,1.0,1.0,1.0,1.0
H3histon,1.0,1.0,1.0,1.0
H3K27Me3,1.0,1.0,1.0,1.0
H3K4Me2,1.0,1.0,1.0,1.0
H3K4Me3,1.0,1.0,1.0,1.0
HDAC1,1.0,1.0,1.0,1.0
HDAC2,1.0,1.0,1.0,1.0
HDAC3,1.0,1.0,1.0,1.0
HIF1A,1.0,1.0,1.0,1.0
HNRNPK,1.0,1.0,1.0,1.0
HSP90AA1_B1,1.0,1.0,1.0,1.0
HSPA1A_L,1.0,1.0,1.0,1.0
HSPB1,1.0,1.0,1.0,1.0
IGF1R,1.0,1.0,1.0,1.0
IGFBP2,1.0,1.0,1.0,1.0
INPP5D,1.0,1.0,1.0,1.0
INPPL1,1.0,1.0,1.0,1.0
IRS1.pS1101,1.0,1.0,1.0,1.0
ITGA2,1.0,1.0,1.0,1.0
ITGAL,1.0,1.0,1.0,1.0
ITGB3,1.0,1.0,1.0,1.0
JMJD6,1.0,1.0,1.0,1.0
JUNB,1.0,1.0,1.0,1.0
JUN.pS73,1.0,1.0,1.0,1.0
KDR,1.0,1.0,1.0,1.0
KIT,1.0,1.0,1.0,1.0
LCK,1.0,1.0,1.0,1.0
LEF1,1.0,1.0,1.0,1.0
LGALS3,1.0,1.0,1.0,1.0
LSD1,1.0,1.0,1.0,1.0
LYN,1.0,1.0,1.0,1.0
MAP2K1,1.0,1.0,1.0,1.0
MAP2K1_2.pS217_221,1.0,1.0,1.0,1.0
MAPK1,1.0,1.0,1.0,1.0
MAPK1_3.pT202Y204,1.0,1.0,1.0,1.0
MAPK14,1.0,1.0,1.0,1.0
MAPK14.pT180Y182,1.0,1.0,1.0,1.0
MAPK9,1.0,1.0,1.0,1.0
MAPT,1.0,1.0,1.0,1.0
MCL1,1.0,1.0,1.0,1.0
MDM2,1.0,1.0,1.0,1.0
MDM4,1.0,1.0,1.0,1.0
MET.pY1230_1234_1235,1.0,1.0,1.0,1.0
MSI2,1.0,1.0,1.0,1.0
MTOR,1.0,1.0,1.0,1.0
MTOR.pS2448,1.0,1.0,1.0,1.0
MYC,1.0,1.0,1.0,1.0
NCL,1.0,1.0,1.0,1.0
NF2,1.0,1.0,1.0,1.0
NF2.pS518,1.0,1.0,1.0,1.0
NOTCH1.cl1744,1.0,1.0,1.0,1.0
NOTCH3,1.0,1.0,1.0,1.0
NPM1,1.0,1.0,1.0,1.0
NPM1.3542,1.0,1.0,1.0,1.0
NR4A1,1.0,1.0,1.0,1.0
NRP1,1.0,1.0,1.0,1.0
ODC1,1.0,1.0,1.0,1.0
PA2G4,1.0,1.0,1.0,1.0
PA2G4.pS65,1.0,1.0,1.0,1.0
PA2G4.pT37_46,1.0,1.0,1.0,1.0
PA2G4.pT70,1.0,1.0,1.0,1.0
PARK7,1.0,1.0,1.0,1.0
PARP1,1.0,1.0,1.0,1.0
PARP1.cl214,1.0,1.0,1.0,1.0
PDK1,1.0,1.0,1.0,1.0
PDK1.pS241,1.0,1.0,1.0,1.0
PIK3CA,1.0,1.0,1.0,1.0
PIK3R1_2,1.0,1.0,1.0,1.0
PIM1,1.0,1.0,1.0,1.0
PIM2,1.0,1.0,1.0,1.0
PLAC1,1.0,1.0,1.0,1.0
PPARA,1.0,1.0,1.0,1.0
PPARG,1.0,1.0,1.0,1.0
PPP2R2A_B_C_D,1.0,1.0,1.0,1.0
PRKAA1_2,1.0,1.0,1.0,1.0
PRKAA1_2.pT172,1.0,1.0,1.0,1.0
PRKCA,1.0,1.0,1.0,1.0
PRKCA.pS657,1.0,1.0,1.0,1.0
PRKCB.I,1.0,1.0,1.0,1.0
PRKCB.II,1.0,1.0,1.0,1.0
PRKCD.pS645,1.0,1.0,1.0,1.0
PRKCD.pS664,1.0,1.0,1.0,1.0
PRKCD.pT507,1.0,1.0,1.0,1.0
CDKN1B,1.0,1.0,1.0,1.0
CDKN1B.pS10,1.0,1.0,1.0,1.0
PTEN,1.0,1.0,1.0,1.0
PTEN.pS380T382T383,1.0,1.0,1.0,1.0
PTGS2,1.0,1.0,1.0,1.0
PTK2,1.0,1.0,1.0,1.0
PTPN11,1.0,1.0,1.0,1.0
RAC1_2_3,1.0,1.0,1.0,1.0
RB1,1.0,1.0,1.0,1.0
RB1.pS807_811,1.0,1.0,1.0,1.0
RELA,1.0,1.0,1.0,1.0
RPS6,1.0,1.0,1.0,1.0
RPS6KB1,1.0,1.0,1.0,1.0
RPS6KB1.pT389,1.0,1.0,1.0,1.0
RPS6.pS235_236,1.0,1.0,1.0,1.0
RPS6.pS240_244,1.0,1.0,1.0,1.0
SFN,1.0,1.0,1.0,1.0
SIRT1,1.0,1.0,1.0,1.0
SMAD1,1.0,1.0,1.0,1.0
SMAD2,1.0,1.0,1.0,1.0
SMAD2.pS245,1.0,1.0,1.0,1.0
SMAD2.pS465,1.0,1.0,1.0,1.0
SMAD3,1.0,1.0,1.0,1.0
SMAD4,1.0,1.0,1.0,1.0
SMAD5,1.0,1.0,1.0,1.0
SMAD5.pS463,1.0,1.0,1.0,1.0
SMAD6,1.0,1.0,1.0,1.0
SOCS2,1.0,1.0,1.0,1.0
SPI1,1.0,1.0,1.0,1.0
SPP1,1.0,1.0,1.0,1.0
SQSTM0,1.0,1.0,1.0,1.0
SRC,1.0,1.0,1.0,1.0
SRC.pY416,1.0,1.0,1.0,1.0
SRC.pY527,1.0,1.0,1.0,1.0
SSBP2,1.0,1.0,1.0,1.0
STAT1,1.0,1.0,1.0,1.0
STAT1.pY701,1.0,1.0,1.0,1.0
STAT3,1.0,1.0,1.0,1.0
STAT3.pS727,1.0,1.0,1.0,1.0
STAT3.pY705,1.0,1.0,1.0,1.0
STAT5A_B,1.0,1.0,1.0,1.0
STAT5A_B.pY694,1.0,1.0,1.0,1.0
STAT6.pY641,1.0,1.0,1.0,1.0
STK11,1.0,1.0,1.0,1.0
STMN1,1.0,1.0,1.0,1.0
TAZ,1.0,1.0,1.0,1.0
TAZ.pS89,1.0,1.0,1.0,1.0
TCF4,1.0,1.0,1.0,1.0
TGM2,1.0,1.0,1.0,1.0
TNK1,1.0,1.0,1.0,1.0
TP53,1.0,1.0,1.0,1.0
TP53.pS15,1.0,1.0,1.0,1.0
TRIM24,1.0,1.0,1.0,1.0
TRIM62,1.0,1.0,1.0,1.0
TSC2,1.0,1.0,1.0,1.0
VASP,1.0,1.0,1.0,1.0
VHL,1.0,1.0,1.0,1.0
WTAP,1.0,1.0,1.0,1.0
XIAP,1.0,1.0,1.0,1.0
XPO1,1.0,1.0,1.0,1.0
YAP1,1.0,1.0,1.0,1.0
YAP1p,1.0,1.0,1.0,1.0
YWHAE,1.0,1.0,1.0,1.0
YWHAZ,1.0,1.0,1.0,1.0
ZNF296,1.0,1.0,1.0,1.0
ZNF346,1.0,1.0,1.0,1.0
Ras.Stat,1.0,1.0,1.0,1.0
PRIOR.MAL,1.0,1.0,1.0,1.0
PRIOR.CHEMO,1.0,1.0,1.0,1.0
ITD,1.0,1.0,1.0,1.0
Infection,1.0,1.0,1.0,1.0
SEX,1.0,1.0,1.0,1.0
D835,1.0,1.0,1.0,1.0
PRIOR.XRT,1.0,1.0,1.0,1.0
cyto.cat=diploid,1.0,1.0,1.0,1.0
cyto.cat=-5,1.0,1.0,1.0,1.0
cyto.cat=IM,1.0,1.0,1.0,1.0
cyto.cat=Misc,1.0,1.0,1.0,1.0
cyto.cat=11q23,1.0,1.0,1.0,1.0
"cyto.cat=-5,-7",1.0,1.0,1.0,1.0
cyto.cat=8,1.0,1.0,1.0,1.0
cyto.cat=-7,1.0,1.0,1.0,1.0
"cyto.cat=-5,-7,+8",1.0,1.0,1.0,1.0
cyto.cat=t6;9,1.0,1.0,1.0,1.0
cyto.cat=21,1.0,1.0,1.0,1.0
cyto.cat=inv9,1.0,1.0,1.0,1.0
"cyto.cat=-7,+8",1.0,1.0,1.0,1.0
cyto.cat=t9;22,1.0,1.0,1.0,1.0
Binned5_ACTB,1.0,1.0,1.0,1.0
Binned5_AIFM1,1.0,1.0,1.0,1.0
Binned5_AKT1,1.0,1.0,1.0,1.0
Binned5_AKT1_2_3.pS473,1.0,1.0,1.0,1.0
Binned5_AKT1_2_3.pT308,1.0,1.0,1.0,1.0
Binned5_ARC,1.0,1.0,1.0,1.0
Binned5_ASH2L,1.0,1.0,1.0,1.0
Binned5_ASNS,1.0,1.0,1.0,1.0
Binned5_ATF3,1.0,1.0,1.0,1.0
Binned5_ATG7,1.0,1.0,1.0,1.0
Binned5_BAD,1.0,1.0,1.0,1.0
Binned5_BAD.pS112,1.0,1.0,1.0,1.0
Binned5_BAD.pS136,1.0,1.0,1.0,1.0
Binned5_BAD.pS155,1.0,1.0,1.0,1.0
Binned5_BAK1,1.0,1.0,1.0,1.0
Binned5_BAX,1.0,1.0,1.0,1.0
Binned5_BCL2,1.0,1.0,1.0,1.0
Binned5_BCL2L1,1.0,1.0,1.0,1.0
Binned5_BCL2L11,1.0,1.0,1.0,1.0
Binned5_BECN1,1.0,1.0,1.0,1.0
Binned5_BID,1.0,1.0,1.0,1.0
Binned5_BIRC2,1.0,1.0,1.0,1.0
Binned5_BIRC5,1.0,1.0,1.0,1.0
Binned5_BMI1,1.0,1.0,1.0,1.0
Binned5_BRAF,1.0,1.0,1.0,1.0
Binned5_CASP3,1.0,1.0,1.0,1.0
Binned5_CASP3.cl175,1.0,1.0,1.0,1.0
Binned5_CASP7.cl198,1.0,1.0,1.0,1.0
Binned5_CASP8,1.0,1.0,1.0,1.0
Binned5_CASP9,1.0,1.0,1.0,1.0
Binned5_CASP9.cl315,1.0,1.0,1.0,1.0
Binned5_CASP9.cl330,1.0,1.0,1.0,1.0
Binned5_CAV1,1.0,1.0,1.0,1.0
Binned5_CBL,1.0,1.0,1.0,1.0
Binned5_CCNB1,1.0,1.0,1.0,1.0
Binned5_CCND1,1.0,1.0,1.0,1.0
Binned5_CCND3,1.0,1.0,1.0,1.0
Binned5_CCNE1,1.0,1.0,1.0,1.0
Binned5_CCNE2,1.0,1.0,1.0,1.0
Binned5_CD44,1.0,1.0,1.0,1.0
Binned5_CD74,1.0,1.0,1.0,1.0
Binned5_CDK1,1.0,1.0,1.0,1.0
Binned5_CDK2,1.0,1.0,1.0,1.0
Binned5_CDK4,1.0,1.0,1.0,1.0
Binned5_CDKN1A,1.0,1.0,1.0,1.0
Binned5_CDKN2A,1.0,1.0,1.0,1.0
Binned5_CLPP,1.0,1.0,1.0,1.0
Binned5_COPS5,1.0,1.0,1.0,1.0
Binned5_CREB1,1.0,1.0,1.0,1.0
Binned5_CREB1.pS133,1.0,1.0,1.0,1.0
Binned5_CTNNA1,1.0,1.0,1.0,1.0
Binned5_CTNNB1,1.0,1.0,1.0,1.0
Binned5_CTNNB1.pS33_37_41,1.0,1.0,1.0,1.0
Binned5_CTSG,1.0,1.0,1.0,1.0
Binned5_DIABLO,1.0,1.0,1.0,1.0
Binned5_DLX1,1.0,1.0,1.0,1.0
Binned5_DUSP6,1.0,1.0,1.0,1.0
Binned5_EGFR,1.0,1.0,1.0,1.0
Binned5_EGFR.pY992,1.0,1.0,1.0,1.0
Binned5_EGLN1,1.0,1.0,1.0,1.0
Binned5_EIF2AK2,1.0,1.0,1.0,1.0
Binned5_EIF2AK2.pT451,1.0,1.0,1.0,1.0
Binned5_EIF2S1,1.0,1.0,1.0,1.0
Binned5_EIF2S1.pS51.,1.0,1.0,1.0,1.0
Binned5_EIF4E,1.0,1.0,1.0,1.0
Binned5_ELK1.pS383,1.0,1.0,1.0,1.0
Binned5_ERBB2,1.0,1.0,1.0,1.0
Binned5_ERBB2.pY1248,1.0,1.0,1.0,1.0
Binned5_ERBB3,1.0,1.0,1.0,1.0
Binned5_ERG,1.0,1.0,1.0,1.0
Binned5_Fli1,1.0,1.0,1.0,1.0
Binned5_FN1,1.0,1.0,1.0,1.0
Binned5_FOXO1.pT24_FOXO3.pT32,1.0,1.0,1.0,1.0
Binned5_FOXO3,1.0,1.0,1.0,1.0
Binned5_FOXO3.S318_321,1.0,1.0,1.0,1.0
Binned5_GAB2,1.0,1.0,1.0,1.0
Binned5_GAB2.pY452,1.0,1.0,1.0,1.0
Binned5_GAPDH,1.0,1.0,1.0,1.0
Binned5_GATA1,1.0,1.0,1.0,1.0
Binned5_GATA3,1.0,1.0,1.0,1.0
Binned5_GRP78,1.0,1.0,1.0,1.0
Binned5_GSKA_B,1.0,1.0,1.0,1.0
Binned5_GSKA_B.pS21_9,1.0,1.0,1.0,1.0
Binned5_H3histon,1.0,1.0,1.0,1.0
Binned5_H3K27Me3,1.0,1.0,1.0,1.0
Binned5_H3K4Me2,1.0,1.0,1.0,1.0
Binned5_H3K4Me3,1.0,1.0,1.0,1.0
Binned5_HDAC1,1.0,1.0,1.0,1.0
Binned5_HDAC2,1.0,1.0,1.0,1.0
Binned5_HDAC3,1.0,1.0,1.0,1.0
Binned5_HIF1A,1.0,1.0,1.0,1.0
Binned5_HNRNPK,1.0,1.0,1.0,1.0
Binned5_HSP90AA1_B1,1.0,1.0,1.0,1.0
Binned5_HSPA1A_L,1.0,1.0,1.0,1.0
Binned5_HSPB1,1.0,1.0,1.0,1.0
Binned5_IGF1R,1.0,1.0,1.0,1.0
Binned5_IGFBP2,1.0,1.0,1.0,1.0
Binned5_INPP5D,1.0,1.0,1.0,1.0
Binned5_INPPL1,1.0,1.0,1.0,1.0
Binned5_IRS1.pS1101,1.0,1.0,1.0,1.0
Binned5_ITGA2,1.0,1.0,1.0,1.0
Binned5_ITGAL,1.0,1.0,1.0,1.0
Binned5_ITGB3,1.0,1.0,1.0,1.0
Binned5_JMJD6,1.0,1.0,1.0,1.0
Binned5_JUNB,1.0,1.0,1.0,1.0
Binned5_JUN.pS73,1.0,1.0,1.0,1.0
Binned5_KDR,1.0,1.0,1.0,1.0
Binned5_KIT,1.0,1.0,1.0,1.0
Binned5_LCK,1.0,1.0,1.0,1.0
Binned5_LEF1,1.0,1.0,1.0,1.0
Binned5_LGALS3,1.0,1.0,1.0,1.0
Binned5_LSD1,1.0,1.0,1.0,1.0
Binned5_LYN,1.0,1.0,1.0,1.0
Binned5_MAP2K1,1.0,1.0,1.0,1.0
Binned5_MAP2K1_2.pS217_221,1.0,1.0,1.0,1.0
Binned5_MAPK1,1.0,1.0,1.0,1.0
Binned5_MAPK1_3.pT202Y204,1.0,1.0,1.0,1.0
Binned5_MAPK14,1.0,1.0,1.0,1.0
Binned5_MAPK14.pT180Y182,1.0,1.0,1.0,1.0
Binned5_MAPK9,1.0,1.0,1.0,1.0
Binned5_MAPT,1.0,1.0,1.0,1.0
Binned5_MCL1,1.0,1.0,1.0,1.0
Binned5_MDM2,1.0,1.0,1.0,1.0
Binned5_MDM4,1.0,1.0,1.0,1.0
Binned5_MET.pY1230_1234_1235,1.0,1.0,1.0,1.0
Binned5_MSI2,1.0,1.0,1.0,1.0
Binned5_MTOR,1.0,1.0,1.0,1.0
Binned5_MTOR.pS2448,1.0,1.0,1.0,1.0
Binned5_MYC,1.0,1.0,1.0,1.0
Binned5_NCL,1.0,1.0,1.0,1.0
Binned5_NF2,1.0,1.0,1.0,1.0
Binned5_NF2.pS518,1.0,1.0,1.0,1.0
Binned5_NOTCH1.cl1744,1.0,1.0,1.0,1.0
Binned5_NOTCH3,1.0,1.0,1.0,1.0
Binned5_NPM1,1.0,1.0,1.0,1.0
Binned5_NPM1.3542,1.0,1.0,1.0,1.0
Binned5_NR4A1,1.0,1.0,1.0,1.0
Binned5_NRP1,1.0,1.0,1.0,1.0
Binned5_ODC1,1.0,1.0,1.0,1.0
Binned5_PA2G4,1.0,1.0,1.0,1.0
Binned5_PA2G4.pS65,1.0,1.0,1.0,1.0
Binned5_PA2G4.pT37_46,1.0,1.0,1.0,1.0
Binned5_PA2G4.pT70,1.0,1.0,1.0,1.0
Binned5_PARK7,1.0,1.0,1.0,1.0
Binned5_PARP1,1.0,1.0,1.0,1.0
Binned5_PARP1.cl214,1.0,1.0,1.0,1.0
Binned5_PDK1,1.0,1.0,1.0,1.0
Binned5_PDK1.pS241,1.0,1.0,1.0,1.0
Binned5_PIK3CA,1.0,1.0,1.0,1.0
Binned5_PIK3R1_2,1.0,1.0,1.0,1.0
Binned5_PIM1,1.0,1.0,1.0,1.0
Binned5_PIM2,1.0,1.0,1.0,1.0
Binned5_PLAC1,1.0,1.0,1.0,1.0
Binned5_PPARA,1.0,1.0,1.0,1.0
Binned5_PPARG,1.0,1.0,1.0,1.0
Binned5_PPP2R2A_B_C_D,1.0,1.0,1.0,1.0
Binned5_PRKAA1_2,1.0,1.0,1.0,1.0
Binned5_PRKAA1_2.pT172,1.0,1.0,1.0,1.0
Binned5_PRKCA,1.0,1.0,1.0,1.0
Binned5_PRKCA.pS657,1.0,1.0,1.0,1.0
Binned5_PRKCB.I,1.0,1.0,1.0,1.0
Binned5_PRKCB.II,1.0,1.0,1.0,1.0
Binned5_PRKCD.pS645,1.0,1.0,1.0,1.0
Binned5_PRKCD.pS664,1.0,1.0,1.0,1.0
Binned5_PRKCD.pT507,1.0,1.0,1.0,1.0
Binned5_CDKN1B,1.0,1.0,1.0,1.0
Binned5_CDKN1B.pS10,1.0,1.0,1.0,1.0
Binned5_PTEN,1.0,1.0,1.0,1.0
Binned5_PTEN.pS380T382T383,1.0,1.0,1.0,1.0
Binned5_PTGS2,1.0,1.0,1.0,1.0
Binned5_PTK2,1.0,1.0,1.0,1.0
Binned5_PTPN11,1.0,1.0,1.0,1.0
Binned5_RAC1_2_3,1.0,1.0,1.0,1.0
Binned5_RB1,1.0,1.0,1.0,1.0
Binned5_RB1.pS807_811,1.0,1.0,1.0,1.0
Binned5_RELA,1.0,1.0,1.0,1.0
Binned5_RPS6,1.0,1.0,1.0,1.0
Binned5_RPS6KB1,1.0,1.0,1.0,1.0
Binned5_RPS6KB1.pT389,1.0,1.0,1.0,1.0
Binned5_RPS6.pS235_236,1.0,1.0,1.0,1.0
Binned5_RPS6.pS240_244,1.0,1.0,1.0,1.0
Binned5_SFN,1.0,1.0,1.0,1.0
Binned5_SIRT1,1.0,1.0,1.0,1.0
Binned5_SMAD1,1.0,1.0,1.0,1.0
Binned5_SMAD2,1.0,1.0,1.0,1.0
Binned5_SMAD2.pS245,1.0,1.0,1.0,1.0
Binned5_SMAD2.pS465,1.0,1.0,1.0,1.0
Binned5_SMAD3,1.0,1.0,1.0,1.0
Binned5_SMAD4,1.0,1.0,1.0,1.0
Binned5_SMAD5,1.0,1.0,1.0,1.0
Binned5_SMAD5.pS463,1.0,1.0,1.0,1.0
Binned5_SMAD6,1.0,1.0,1.0,1.0
Binned5_SOCS2,1.0,1.0,1.0,1.0
Binned5_SPI1,1.0,1.0,1.0,1.0
Binned5_SPP1,1.0,1.0,1.0,1.0
Binned5_SQSTM0,1.0,1.0,1.0,1.0
Binned5_SRC,1.0,1.0,1.0,1.0
Binned5_SRC.pY416,1.0,1.0,1.0,1.0
Binned5_SRC.pY527,1.0,1.0,1.0,1.0
Binned5_SSBP2,1.0,1.0,1.0,1.0
Binned5_STAT1,1.0,1.0,1.0,1.0
Binned5_STAT1.pY701,1.0,1.0,1.0,1.0
Binned5_STAT3,1.0,1.0,1.0,1.0
Binned5_STAT3.pS727,1.0,1.0,1.0,1.0
Binned5_STAT3.pY705,1.0,1.0,1.0,1.0
Binned5_STAT5A_B,1.0,1.0,1.0,1.0
Binned5_STAT5A_B.pY694,1.0,1.0,1.0,1.0
Binned5_STAT6.pY641,1.0,1.0,1.0,1.0
Binned5_STK11,1.0,1.0,1.0,1.0
Binned5_STMN1,1.0,1.0,1.0,1.0
Binned5_TAZ,1.0,1.0,1.0,1.0
Binned5_TAZ.pS89,1.0,1.0,1.0,1.0
Binned5_TCF4,1.0,1.0,1.0,1.0
Binned5_TGM2,1.0,1.0,1.0,1.0
Binned5_TNK1,1.0,1.0,1.0,1.0
Binned5_TP53,1.0,1.0,1.0,1.0
Binned5_TP53.pS15,1.0,1.0,1.0,1.0
Binned5_TRIM24,1.0,1.0,1.0,1.0
Binned5_TRIM62,1.0,1.0,1.0,1.0
Binned5_TSC2,1.0,1.0,1.0,1.0
Binned5_VASP,1.0,1.0,1.0,1.0
Binned5_VHL,1.0,1.0,1.0,1.0
Binned5_WTAP,1.0,1.0,1.0,1.0
