,Overall_Survival,Remission_Duration,resp.simple,Relapse,vital.status,Overall_Survival_cut,Remission_Duration_cut,Overall_Survival_binned,Remission_Duration_binned
ABS.BLST,-0.08651904880563335,-0.054432006050892094,-0.07476859932831614,0.0536302242496902,-0.014717382478364613,-0.12002905055260309,-0.040361948787954835,-0.09796686016584286,-0.0653509481555774
ACTB,0.12135258513875317,0.10083499199434857,-0.007345046939881182,0.0500600945367396,0.11492652822966816,0.19068847452977672,0.1690956012385379,0.16290639651521374,0.14231426945175
ACTB_Absolute,-0.007974872683111442,0.04693084934843145,0.051597417840337216,-0.04742291784381396,0.04696408084823224,-0.03491732116610012,0.08114941621539515,-0.04387965342627274,0.08037004690361146
ACTB_Squared,-0.0023545264263467253,0.03532265750458395,0.10020411976783172,-0.03980705464849683,0.04681801224733282,0.0014089520716461673,0.06645225899056144,-0.010200041739215574,0.05928057444305979
AHD,-0.054063408052597434,-0.10606660312092045,-0.12900141300106382,0.09664695065029483,-0.07884484546634193,-0.046111160954699804,-0.0757464792685251,-0.05494834708640073,-0.05497840942851958
AIFM1,0.07552132216394508,0.02017670243581253,-0.03559810143023847,0.023551798951194306,0.0921483020167399,-0.03444855421967744,0.058615807857578306,-0.021111655768873534,0.025137359541931022
AIFM1_Absolute,0.13813798384289824,0.06087114653840409,0.07911143072868314,-0.06248944787933285,0.05742573964439794,0.16946754126249225,0.16455848211529275,0.1695855356460989,0.14670439951005226
AIFM1_Squared,0.137196582268384,0.03637670498585393,0.06712560062709666,-0.05992030025581974,0.04533173260969762,0.14540477605948582,0.12278144850645219,0.1475055388205615,0.09949004612438361
AKT1,0.009594513271558185,-0.004782567417850462,0.02997073361946863,0.08759813570627505,-0.024125660246366722,0.03242841729791056,-0.03223397204254809,0.032726714660108756,-0.012617771439922734
AKT1_2_3.pS473,-0.10798838190077753,-0.05083779209850677,0.05342895988838247,-0.025674607672755922,-0.10688297087389578,-0.10949187973228745,-0.12082385774081861,-0.10011665808418603,-0.1251357958871501
